HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
0.0 gB	62215 KB/s
1.3 gB	66117 KB/s
2.5 gB	66088 KB/s
3.8 gB	61662 KB/s
5.0 gB	66138 KB/s
6.3 gB	65792 KB/s
7.5 gB	66132 KB/s
8.8 gB	66131 KB/s
10.0 gB	66190 KB/s
11.3 gB	66176 KB/s
12.5 gB	61644 KB/s
13.8 gB	65770 KB/s
15.0 gB	63985 KB/s
16.3 gB	66153 KB/s
17.5 gB	66198 KB/s
18.8 gB	66107 KB/s
20.0 gB	63667 KB/s
21.3 gB	65734 KB/s
22.5 gB	61907 KB/s
23.8 gB	65095 KB/s
25.0 gB	65115 KB/s
26.3 gB	65011 KB/s
27.5 gB	65509 KB/s
28.8 gB	65060 KB/s
30.0 gB	65104 KB/s
31.3 gB	65168 KB/s
32.5 gB	61852 KB/s
33.8 gB	65190 KB/s
35.0 gB	65112 KB/s
36.3 gB	65050 KB/s
37.5 gB	65518 KB/s
38.8 gB	64206 KB/s
40.0 gB	64132 KB/s
41.3 gB	64023 KB/s
42.5 gB	64161 KB/s
43.8 gB	64267 KB/s
45.0 gB	64074 KB/s
46.3 gB	64146 KB/s
47.5 gB	64189 KB/s
48.8 gB	64168 KB/s
50.0 gB	63988 KB/s
51.3 gB	64168 KB/s
52.5 gB	60300 KB/s
53.8 gB	64114 KB/s
55.0 gB	64102 KB/s
56.3 gB	64222 KB/s
57.5 gB	62600 KB/s
58.8 gB	62704 KB/s
60.0 gB	63396 KB/s
61.3 gB	63443 KB/s
62.5 gB	63324 KB/s
63.8 gB	63319 KB/s
65.0 gB	63383 KB/s
66.3 gB	63398 KB/s
67.5 gB	63389 KB/s
68.8 gB	62342 KB/s
70.0 gB	61429 KB/s
71.3 gB	61514 KB/s
72.5 gB	62325 KB/s
