HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 30.5 MB/s
Transfer Rate Maximum : 71.1 MB/s
Transfer Rate Average : 51.3 MB/s
Position 	Transfer Rate
0.0 gB	72833 KB/s
1.3 gB	67340 KB/s
2.5 gB	61641 KB/s
3.8 gB	65375 KB/s
5.0 gB	60963 KB/s
6.3 gB	64350 KB/s
7.5 gB	64900 KB/s
8.8 gB	64858 KB/s
10.0 gB	61719 KB/s
11.3 gB	63990 KB/s
12.5 gB	61495 KB/s
13.8 gB	64866 KB/s
15.0 gB	64588 KB/s
16.3 gB	62103 KB/s
17.5 gB	64136 KB/s
18.8 gB	60771 KB/s
20.0 gB	61121 KB/s
21.3 gB	60822 KB/s
22.5 gB	63339 KB/s
23.8 gB	62854 KB/s
25.0 gB	59068 KB/s
26.3 gB	63602 KB/s
27.5 gB	64725 KB/s
28.8 gB	62143 KB/s
30.0 gB	62809 KB/s
31.3 gB	63110 KB/s
32.5 gB	60769 KB/s
33.8 gB	62455 KB/s
35.0 gB	62647 KB/s
36.3 gB	63299 KB/s
37.5 gB	65343 KB/s
38.8 gB	58403 KB/s
40.0 gB	62929 KB/s
41.3 gB	61711 KB/s
42.5 gB	60580 KB/s
43.8 gB	64721 KB/s
45.0 gB	58873 KB/s
46.3 gB	62946 KB/s
47.5 gB	60400 KB/s
48.8 gB	62517 KB/s
50.0 gB	59088 KB/s
51.3 gB	62911 KB/s
52.5 gB	62756 KB/s
53.8 gB	62646 KB/s
55.0 gB	62553 KB/s
56.3 gB	62816 KB/s
57.5 gB	60390 KB/s
58.8 gB	59076 KB/s
60.0 gB	62360 KB/s
61.3 gB	56617 KB/s
62.5 gB	59969 KB/s
63.8 gB	59150 KB/s
65.0 gB	61611 KB/s
66.3 gB	59278 KB/s
67.5 gB	59072 KB/s
68.8 gB	60916 KB/s
70.0 gB	61991 KB/s
71.3 gB	57098 KB/s
72.5 gB	56922 KB/s
73.8 gB	61044 KB/s
75.0 gB	59785 KB/s
76.3 gB	57104 KB/s
77.5 gB	59301 KB/s
78.8 gB	57368 KB/s
80.0 gB	59402 KB/s
81.3 gB	57214 KB/s
82.5 gB	59012 KB/s
83.8 gB	57374 KB/s
85.0 gB	59563 KB/s
86.3 gB	57524 KB/s
87.5 gB	58397 KB/s
88.8 gB	57549 KB/s
90.0 gB	58368 KB/s
91.3 gB	57617 KB/s
92.5 gB	59052 KB/s
93.8 gB	57554 KB/s
95.0 gB	58260 KB/s
96.3 gB	57420 KB/s
97.5 gB	59759 KB/s
98.8 gB	58980 KB/s
100.0 gB	56046 KB/s
101.3 gB	58215 KB/s
102.5 gB	57722 KB/s
103.8 gB	57630 KB/s
105.0 gB	57054 KB/s
106.3 gB	58277 KB/s
107.5 gB	57270 KB/s
108.8 gB	58258 KB/s
110.0 gB	57134 KB/s
111.3 gB	57475 KB/s
112.5 gB	55790 KB/s
113.8 gB	56845 KB/s
115.0 gB	55753 KB/s
116.3 gB	56829 KB/s
117.5 gB	56559 KB/s
118.8 gB	56775 KB/s
120.0 gB	56720 KB/s
121.3 gB	52720 KB/s
122.5 gB	55130 KB/s
123.8 gB	53072 KB/s
125.0 gB	54982 KB/s
126.3 gB	55246 KB/s
127.5 gB	52460 KB/s
128.8 gB	57900 KB/s
130.0 gB	54004 KB/s
131.3 gB	52466 KB/s
132.5 gB	52523 KB/s
133.8 gB	51981 KB/s
135.0 gB	52697 KB/s
136.3 gB	52524 KB/s
137.5 gB	47821 KB/s
138.8 gB	54655 KB/s
140.0 gB	52416 KB/s
141.3 gB	50435 KB/s
142.5 gB	54259 KB/s
143.8 gB	50333 KB/s
145.0 gB	52538 KB/s
146.3 gB	52439 KB/s
147.5 gB	52003 KB/s
148.8 gB	52527 KB/s
150.0 gB	51913 KB/s
151.3 gB	53080 KB/s
152.5 gB	51977 KB/s
153.8 gB	52433 KB/s
155.0 gB	52546 KB/s
156.3 gB	51913 KB/s
157.5 gB	52225 KB/s
158.8 gB	49860 KB/s
160.0 gB	49677 KB/s
161.3 gB	49504 KB/s
162.5 gB	49610 KB/s
163.8 gB	49778 KB/s
165.0 gB	49026 KB/s
166.3 gB	50558 KB/s
167.5 gB	46685 KB/s
168.8 gB	48517 KB/s
170.0 gB	46793 KB/s
171.3 gB	46665 KB/s
172.5 gB	48784 KB/s
173.8 gB	46433 KB/s
175.0 gB	49170 KB/s
176.3 gB	46828 KB/s
177.5 gB	49228 KB/s
178.8 gB	46770 KB/s
180.0 gB	48748 KB/s
181.3 gB	46528 KB/s
182.5 gB	47528 KB/s
183.8 gB	47248 KB/s
185.0 gB	46398 KB/s
186.3 gB	47320 KB/s
187.5 gB	47005 KB/s
188.8 gB	47180 KB/s
190.0 gB	45933 KB/s
191.3 gB	44213 KB/s
192.5 gB	44310 KB/s
193.8 gB	45843 KB/s
195.0 gB	45085 KB/s
196.3 gB	43552 KB/s
197.5 gB	45142 KB/s
198.8 gB	45276 KB/s
200.0 gB	43485 KB/s
201.3 gB	43750 KB/s
202.5 gB	44018 KB/s
203.8 gB	42301 KB/s
205.0 gB	44132 KB/s
206.3 gB	42757 KB/s
207.5 gB	40737 KB/s
208.8 gB	40617 KB/s
210.0 gB	42639 KB/s
211.3 gB	39815 KB/s
212.5 gB	40831 KB/s
213.8 gB	39277 KB/s
215.0 gB	39350 KB/s
216.3 gB	40700 KB/s
217.5 gB	39492 KB/s
218.8 gB	37558 KB/s
220.0 gB	40838 KB/s
221.3 gB	39314 KB/s
222.5 gB	39176 KB/s
223.8 gB	37148 KB/s
225.0 gB	37592 KB/s
226.3 gB	37530 KB/s
227.5 gB	37679 KB/s
228.8 gB	36030 KB/s
230.0 gB	37619 KB/s
231.3 gB	35951 KB/s
232.5 gB	35370 KB/s
233.8 gB	35362 KB/s
235.0 gB	34855 KB/s
236.3 gB	35171 KB/s
237.5 gB	33627 KB/s
238.8 gB	31588 KB/s
240.0 gB	32614 KB/s
241.3 gB	34250 KB/s
242.5 gB	33199 KB/s
243.8 gB	32861 KB/s
245.0 gB	34414 KB/s
246.3 gB	32812 KB/s
247.5 gB	31521 KB/s
248.8 gB	31254 KB/s
Access Time           : 5.55 ms
Distance 	AccessTime
0.0 %	0.46 ms
0.1 %	0.37 ms
0.1 %	8.07 ms
0.4 %	0.27 ms
0.4 %	9.29 ms
0.4 %	0.52 ms
0.5 %	17.88 ms
0.6 %	7.43 ms
0.6 %	8.63 ms
0.7 %	0.52 ms
0.8 %	0.25 ms
0.9 %	7.34 ms
0.9 %	17.61 ms
0.9 %	0.45 ms
1.1 %	8.67 ms
1.2 %	11.72 ms
1.3 %	0.47 ms
1.3 %	0.41 ms
1.4 %	19.35 ms
1.4 %	15.53 ms
1.4 %	13.04 ms
1.5 %	0.39 ms
1.6 %	11.38 ms
1.9 %	0.56 ms
2.1 %	11.29 ms
2.1 %	0.29 ms
2.1 %	0.36 ms
2.2 %	0.44 ms
2.2 %	17.33 ms
2.3 %	0.44 ms
2.3 %	0.36 ms
2.4 %	10.25 ms
2.5 %	0.46 ms
2.6 %	0.50 ms
2.7 %	16.38 ms
2.8 %	0.40 ms
2.8 %	11.29 ms
2.9 %	7.45 ms
2.9 %	8.96 ms
3.0 %	0.40 ms
3.0 %	10.85 ms
3.0 %	13.56 ms
3.2 %	16.96 ms
3.2 %	9.39 ms
