HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
0.0 gB	19470 KB/s
1.6 gB	92464 KB/s
3.2 gB	91497 KB/s
4.8 gB	91530 KB/s
6.4 gB	91449 KB/s
8.0 gB	92370 KB/s
9.6 gB	89971 KB/s
11.2 gB	89980 KB/s
12.8 gB	89935 KB/s
14.4 gB	89950 KB/s
16.0 gB	89938 KB/s
17.6 gB	92064 KB/s
19.2 gB	93008 KB/s
20.8 gB	92041 KB/s
22.4 gB	92036 KB/s
24.0 gB	91075 KB/s
25.6 gB	90736 KB/s
27.2 gB	91677 KB/s
28.8 gB	90718 KB/s
30.4 gB	91044 KB/s
32.0 gB	90728 KB/s
33.6 gB	89427 KB/s
35.2 gB	88489 KB/s
36.8 gB	89416 KB/s
38.4 gB	89413 KB/s
40.0 gB	88489 KB/s
41.6 gB	88515 KB/s
43.2 gB	88519 KB/s
44.8 gB	88531 KB/s
46.4 gB	88529 KB/s
48.0 gB	87627 KB/s
49.6 gB	88082 KB/s
51.2 gB	87193 KB/s
52.8 gB	87206 KB/s
54.4 gB	86320 KB/s
56.0 gB	88103 KB/s
57.6 gB	86764 KB/s
59.2 gB	85347 KB/s
60.8 gB	81168 KB/s
62.4 gB	81917 KB/s
64.0 gB	85092 KB/s
65.6 gB	86774 KB/s
67.2 gB	85069 KB/s
68.8 gB	85966 KB/s
70.4 gB	86773 KB/s
72.0 gB	85064 KB/s
73.6 gB	84928 KB/s
75.2 gB	85007 KB/s
76.8 gB	84919 KB/s
78.4 gB	84918 KB/s
80.0 gB	84902 KB/s
81.6 gB	83619 KB/s
83.2 gB	84451 KB/s
84.8 gB	83856 KB/s
86.4 gB	84406 KB/s
88.0 gB	83584 KB/s
89.6 gB	83804 KB/s
91.2 gB	83797 KB/s
92.8 gB	83803 KB/s
94.4 gB	83850 KB/s
96.0 gB	83813 KB/s
97.6 gB	82894 KB/s
99.2 gB	82139 KB/s
100.8 gB	82061 KB/s
102.4 gB	82141 KB/s
104.0 gB	82880 KB/s
105.6 gB	81303 KB/s
107.2 gB	82071 KB/s
108.8 gB	82069 KB/s
110.4 gB	81307 KB/s
112.0 gB	81276 KB/s
113.6 gB	79682 KB/s
115.2 gB	81166 KB/s
116.8 gB	79689 KB/s
118.4 gB	81225 KB/s
120.0 gB	80418 KB/s
121.6 gB	79905 KB/s
123.2 gB	79919 KB/s
124.8 gB	80190 KB/s
126.4 gB	79889 KB/s
128.0 gB	79894 KB/s
129.6 gB	78839 KB/s
131.2 gB	78136 KB/s
132.8 gB	79009 KB/s
134.4 gB	78135 KB/s
136.0 gB	78133 KB/s
137.6 gB	78836 KB/s
139.2 gB	78843 KB/s
140.8 gB	78832 KB/s
142.4 gB	78104 KB/s
144.0 gB	77268 KB/s
145.6 gB	76584 KB/s
147.2 gB	76575 KB/s
148.8 gB	76573 KB/s
150.4 gB	77291 KB/s
152.0 gB	77275 KB/s
153.6 gB	77252 KB/s
155.2 gB	76555 KB/s
156.8 gB	75902 KB/s
158.4 gB	74910 KB/s
160.0 gB	74992 KB/s
161.6 gB	75002 KB/s
163.2 gB	74704 KB/s
164.8 gB	74913 KB/s
166.4 gB	74362 KB/s
168.0 gB	74942 KB/s
169.6 gB	75565 KB/s
171.2 gB	74277 KB/s
172.8 gB	73039 KB/s
174.4 gB	73056 KB/s
176.0 gB	73060 KB/s
177.6 gB	72470 KB/s
179.2 gB	73046 KB/s
180.8 gB	72446 KB/s
182.4 gB	73085 KB/s
184.0 gB	73064 KB/s
185.6 gB	72420 KB/s
187.2 gB	71506 KB/s
188.8 gB	71021 KB/s
190.4 gB	70929 KB/s
192.0 gB	70928 KB/s
193.6 gB	71418 KB/s
195.2 gB	70336 KB/s
196.8 gB	70330 KB/s
198.4 gB	70330 KB/s
200.0 gB	69760 KB/s
201.6 gB	68110 KB/s
203.2 gB	68123 KB/s
204.8 gB	68106 KB/s
206.4 gB	68653 KB/s
208.0 gB	67595 KB/s
209.6 gB	68641 KB/s
211.2 gB	64560 KB/s
212.8 gB	68113 KB/s
214.4 gB	66250 KB/s
216.0 gB	66244 KB/s
217.6 gB	66241 KB/s
219.2 gB	66251 KB/s
220.8 gB	66224 KB/s
222.4 gB	65252 KB/s
224.0 gB	65238 KB/s
225.6 gB	65278 KB/s
227.2 gB	64003 KB/s
228.9 gB	64004 KB/s
230.5 gB	64061 KB/s
232.1 gB	64131 KB/s
233.7 gB	58947 KB/s
235.3 gB	63143 KB/s
236.9 gB	63267 KB/s
238.5 gB	62347 KB/s
240.1 gB	60999 KB/s
241.7 gB	61779 KB/s
243.3 gB	61767 KB/s
244.9 gB	61779 KB/s
246.5 gB	61778 KB/s
248.1 gB	61769 KB/s
249.7 gB	60072 KB/s
251.3 gB	60894 KB/s
252.9 gB	60412 KB/s
254.5 gB	59607 KB/s
256.1 gB	59666 KB/s
257.7 gB	58196 KB/s
259.3 gB	59812 KB/s
260.9 gB	58997 KB/s
262.5 gB	58163 KB/s
264.1 gB	57695 KB/s
265.7 gB	57681 KB/s
267.3 gB	57689 KB/s
268.9 gB	57698 KB/s
270.5 gB	57001 KB/s
272.1 gB	56999 KB/s
273.7 gB	57003 KB/s
275.3 gB	55676 KB/s
276.9 gB	54977 KB/s
278.5 gB	55703 KB/s
280.1 gB	54897 KB/s
281.7 gB	54261 KB/s
283.3 gB	54237 KB/s
284.9 gB	52714 KB/s
286.5 gB	52090 KB/s
288.1 gB	52752 KB/s
289.7 gB	53365 KB/s
291.3 gB	52369 KB/s
292.9 gB	51746 KB/s
294.5 gB	51800 KB/s
296.1 gB	50157 KB/s
297.7 gB	50791 KB/s
299.3 gB	50172 KB/s
300.9 gB	48613 KB/s
302.5 gB	48059 KB/s
304.1 gB	49151 KB/s
305.7 gB	47365 KB/s
307.3 gB	46851 KB/s
308.9 gB	44442 KB/s
310.5 gB	44437 KB/s
312.1 gB	44023 KB/s
313.7 gB	48146 KB/s
315.3 gB	48155 KB/s
316.9 gB	47632 KB/s
318.5 gB	45016 KB/s
Access Time           : 16.8 ms
Distance 	AccessTime
0.1 %	7.47 ms
0.2 %	15.47 ms
0.2 %	4.30 ms
0.3 %	14.49 ms
0.3 %	10.00 ms
0.4 %	8.06 ms
0.6 %	8.72 ms
0.6 %	6.55 ms
0.6 %	5.87 ms
0.7 %	9.74 ms
0.8 %	5.74 ms
0.8 %	11.35 ms
0.8 %	7.94 ms
0.9 %	11.71 ms
0.9 %	5.42 ms
1.0 %	9.83 ms
1.0 %	6.81 ms
1.0 %	13.93 ms
1.0 %	7.61 ms
1.1 %	15.43 ms
1.1 %	10.87 ms
1.5 %	9.77 ms
1.5 %	16.51 ms
1.6 %	4.97 ms
1.6 %	15.59 ms
1.7 %	12.10 ms
1.9 %	7.74 ms
2.0 %	14.06 ms
2.1 %	15.21 ms
2.1 %	14.21 ms
2.2 %	8.77 ms
2.2 %	6.89 ms
2.2 %	12.08 ms
2.2 %	7.08 ms
2.2 %	10.09 ms
2.2 %	6.83 ms
2.3 %	12.53 ms
2.4 %	9.67 ms
2.5 %	13.41 ms
2.5 %	14.43 ms
2.5 %	8.71 ms
2.6 %	10.01 ms
2.6 %	10.15 ms
2.7 %	13.19 ms
2.7 %	6.94 ms
2.8 %	12.13 ms
3.0 %	4.80 ms
3.0 %	8.47 ms
3.0 %	6.84 ms
3.2 %	6.97 ms
3.3 %	5.31 ms
3.3 %	5.74 ms
3.3 %	11.54 ms
3.4 %	15.08 ms
3.6 %	10.90 ms
3.7 %	10.42 ms
3.7 %	8.46 ms
3.7 %	11.75 ms
3.8 %	7.74 ms
3.8 %	13.77 ms
3.8 %	14.19 ms
3.8 %	10.22 ms
4.0 %	6.18 ms
4.0 %	11.80 ms
4.0 %	13.55 ms
4.2 %	6.24 ms
4.2 %	11.06 ms
4.3 %	8.59 ms
4.3 %	12.23 ms
4.5 %	14.39 ms
4.9 %	13.81 ms
4.9 %	16.86 ms
