HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
0.0 gB	17268 KB/s
1.6 gB	22058 KB/s
3.2 gB	23066 KB/s
4.8 gB	91809 KB/s
6.4 gB	93226 KB/s
8.0 gB	97399 KB/s
9.6 gB	96541 KB/s
11.2 gB	94795 KB/s
12.8 gB	91684 KB/s
14.4 gB	90944 KB/s
16.0 gB	91749 KB/s
17.6 gB	90245 KB/s
19.2 gB	95966 KB/s
20.8 gB	93240 KB/s
22.4 gB	96101 KB/s
24.0 gB	92984 KB/s
25.6 gB	95102 KB/s
27.2 gB	94148 KB/s
28.8 gB	97219 KB/s
30.4 gB	91308 KB/s
32.0 gB	94190 KB/s
33.6 gB	93247 KB/s
35.2 gB	90689 KB/s
36.8 gB	90211 KB/s
38.4 gB	93992 KB/s
40.0 gB	94025 KB/s
41.6 gB	93597 KB/s
43.2 gB	89985 KB/s
44.8 gB	90939 KB/s
46.4 gB	89969 KB/s
48.0 gB	92826 KB/s
49.6 gB	92880 KB/s
51.2 gB	93058 KB/s
52.8 gB	91984 KB/s
54.4 gB	87904 KB/s
56.0 gB	92434 KB/s
57.6 gB	89198 KB/s
59.2 gB	89107 KB/s
60.8 gB	85548 KB/s
62.4 gB	92022 KB/s
64.0 gB	86302 KB/s
65.6 gB	89993 KB/s
67.2 gB	91476 KB/s
68.8 gB	87010 KB/s
70.4 gB	91447 KB/s
72.0 gB	87624 KB/s
73.6 gB	88930 KB/s
75.2 gB	86239 KB/s
76.8 gB	89265 KB/s
78.4 gB	91020 KB/s
80.0 gB	86545 KB/s
81.6 gB	84510 KB/s
83.2 gB	89782 KB/s
84.8 gB	89607 KB/s
86.4 gB	88688 KB/s
88.0 gB	89408 KB/s
89.6 gB	86193 KB/s
91.2 gB	86544 KB/s
92.8 gB	88329 KB/s
94.4 gB	88272 KB/s
96.0 gB	86544 KB/s
97.6 gB	74730 KB/s
99.2 gB	84036 KB/s
100.8 gB	86653 KB/s
102.4 gB	85431 KB/s
104.0 gB	86552 KB/s
105.6 gB	82725 KB/s
107.2 gB	83665 KB/s
108.8 gB	84544 KB/s
110.4 gB	83644 KB/s
112.0 gB	84349 KB/s
113.6 gB	85505 KB/s
115.2 gB	85105 KB/s
116.8 gB	84376 KB/s
118.4 gB	84437 KB/s
120.0 gB	83482 KB/s
121.6 gB	84079 KB/s
123.2 gB	82921 KB/s
124.8 gB	84380 KB/s
126.4 gB	84341 KB/s
128.0 gB	82834 KB/s
129.6 gB	80937 KB/s
131.2 gB	81916 KB/s
132.8 gB	81804 KB/s
134.4 gB	81205 KB/s
136.0 gB	81896 KB/s
