HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
0.0 gB	71357 KB/s
1.3 gB	70912 KB/s
2.5 gB	63412 KB/s
3.8 gB	72843 KB/s
5.0 gB	74746 KB/s
6.3 gB	67787 KB/s
7.5 gB	73281 KB/s
8.8 gB	74665 KB/s
10.0 gB	68233 KB/s
11.3 gB	74681 KB/s
12.5 gB	70901 KB/s
13.8 gB	74736 KB/s
15.0 gB	67770 KB/s
16.3 gB	72087 KB/s
17.5 gB	69661 KB/s
18.8 gB	70458 KB/s
20.0 gB	70379 KB/s
21.3 gB	69649 KB/s
22.5 gB	73074 KB/s
23.8 gB	66295 KB/s
25.0 gB	73577 KB/s
26.3 gB	69654 KB/s
27.5 gB	73648 KB/s
28.8 gB	66706 KB/s
30.0 gB	73110 KB/s
31.3 gB	68209 KB/s
32.5 gB	73117 KB/s
33.8 gB	66305 KB/s
35.0 gB	73083 KB/s
36.3 gB	68215 KB/s
37.5 gB	72787 KB/s
38.8 gB	71461 KB/s
40.0 gB	66295 KB/s
41.3 gB	71297 KB/s
42.5 gB	68237 KB/s
43.8 gB	71332 KB/s
45.0 gB	64026 KB/s
46.3 gB	71340 KB/s
47.5 gB	67759 KB/s
48.8 gB	70816 KB/s
50.0 gB	71318 KB/s
51.3 gB	64027 KB/s
52.5 gB	71287 KB/s
53.8 gB	65576 KB/s
55.0 gB	70148 KB/s
56.3 gB	64065 KB/s
57.5 gB	64827 KB/s
58.8 gB	68082 KB/s
60.0 gB	65128 KB/s
61.3 gB	69672 KB/s
62.5 gB	64043 KB/s
63.8 gB	64632 KB/s
65.0 gB	69020 KB/s
66.3 gB	65039 KB/s
67.5 gB	69650 KB/s
68.8 gB	62915 KB/s
70.0 gB	68209 KB/s
71.3 gB	65534 KB/s
72.5 gB	67235 KB/s
73.8 gB	65527 KB/s
75.0 gB	62937 KB/s
76.3 gB	68277 KB/s
77.5 gB	63436 KB/s
78.8 gB	68243 KB/s
80.0 gB	62887 KB/s
81.3 gB	68193 KB/s
82.5 gB	63380 KB/s
83.8 gB	63445 KB/s
85.0 gB	65653 KB/s
86.3 gB	61327 KB/s
87.5 gB	64421 KB/s
88.8 gB	66498 KB/s
90.0 gB	60593 KB/s
91.3 gB	66479 KB/s
92.5 gB	63444 KB/s
93.8 gB	66562 KB/s
95.0 gB	60645 KB/s
96.3 gB	65120 KB/s
97.5 gB	60131 KB/s
98.8 gB	59267 KB/s
100.0 gB	64734 KB/s
101.3 gB	62972 KB/s
102.5 gB	59337 KB/s
103.8 gB	64548 KB/s
105.0 gB	60497 KB/s
106.3 gB	59209 KB/s
107.5 gB	64691 KB/s
108.8 gB	61157 KB/s
110.0 gB	63061 KB/s
111.3 gB	62175 KB/s
112.5 gB	61181 KB/s
113.8 gB	57722 KB/s
115.0 gB	59656 KB/s
116.3 gB	62142 KB/s
117.5 gB	62927 KB/s
118.8 gB	59253 KB/s
120.0 gB	57194 KB/s
121.3 gB	60501 KB/s
122.5 gB	62178 KB/s
123.8 gB	62940 KB/s
125.0 gB	59279 KB/s
126.3 gB	54989 KB/s
127.5 gB	59279 KB/s
128.8 gB	59177 KB/s
130.0 gB	60013 KB/s
131.3 gB	54804 KB/s
132.5 gB	57817 KB/s
133.8 gB	54995 KB/s
135.0 gB	57809 KB/s
136.3 gB	55041 KB/s
137.5 gB	57027 KB/s
138.8 gB	60753 KB/s
140.0 gB	59996 KB/s
141.3 gB	60661 KB/s
142.5 gB	54964 KB/s
143.8 gB	60052 KB/s
145.0 gB	53881 KB/s
146.3 gB	56596 KB/s
147.5 gB	57158 KB/s
148.8 gB	53905 KB/s
150.0 gB	57765 KB/s
151.3 gB	55731 KB/s
152.5 gB	53885 KB/s
153.8 gB	57752 KB/s
155.0 gB	54176 KB/s
156.3 gB	57843 KB/s
157.5 gB	52230 KB/s
158.8 gB	57811 KB/s
160.0 gB	54218 KB/s
161.3 gB	57781 KB/s
162.5 gB	52780 KB/s
163.8 gB	52254 KB/s
165.0 gB	55001 KB/s
166.3 gB	52384 KB/s
167.5 gB	52235 KB/s
168.8 gB	52279 KB/s
170.0 gB	54989 KB/s
171.3 gB	55001 KB/s
172.5 gB	54987 KB/s
173.8 gB	50429 KB/s
175.0 gB	50532 KB/s
176.3 gB	49772 KB/s
177.5 gB	48819 KB/s
178.8 gB	48790 KB/s
180.0 gB	49242 KB/s
181.3 gB	53029 KB/s
182.5 gB	52970 KB/s
183.8 gB	52632 KB/s
185.0 gB	49237 KB/s
186.3 gB	52800 KB/s
187.5 gB	48057 KB/s
188.8 gB	47319 KB/s
190.0 gB	52777 KB/s
191.3 gB	48784 KB/s
192.5 gB	52240 KB/s
193.8 gB	49532 KB/s
195.0 gB	50018 KB/s
196.3 gB	47403 KB/s
197.5 gB	45431 KB/s
198.8 gB	46949 KB/s
200.0 gB	49548 KB/s
201.3 gB	49565 KB/s
202.5 gB	50024 KB/s
203.8 gB	45051 KB/s
205.0 gB	46945 KB/s
206.3 gB	46185 KB/s
207.5 gB	43669 KB/s
208.8 gB	47365 KB/s
210.0 gB	44332 KB/s
211.3 gB	46957 KB/s
212.5 gB	43561 KB/s
213.8 gB	46960 KB/s
215.0 gB	44782 KB/s
216.3 gB	44717 KB/s
217.5 gB	45513 KB/s
218.8 gB	45483 KB/s
220.0 gB	45477 KB/s
221.3 gB	45447 KB/s
222.6 gB	45547 KB/s
223.8 gB	42160 KB/s
225.1 gB	43618 KB/s
226.3 gB	39726 KB/s
227.6 gB	43634 KB/s
228.8 gB	43614 KB/s
230.1 gB	40029 KB/s
231.3 gB	39727 KB/s
232.6 gB	42173 KB/s
233.8 gB	41231 KB/s
235.1 gB	39464 KB/s
236.3 gB	39755 KB/s
237.6 gB	42121 KB/s
238.8 gB	42116 KB/s
240.1 gB	39282 KB/s
241.3 gB	38519 KB/s
242.6 gB	37907 KB/s
243.8 gB	39289 KB/s
245.1 gB	39329 KB/s
246.3 gB	36516 KB/s
247.6 gB	36544 KB/s
248.8 gB	36529 KB/s
Access Time           : 15.0 ms
Distance 	AccessTime
0.0 %	4.91 ms
0.0 %	9.45 ms
0.0 %	9.52 ms
0.1 %	7.35 ms
0.1 %	9.69 ms
0.2 %	4.17 ms
0.2 %	10.81 ms
0.2 %	4.51 ms
0.3 %	8.91 ms
0.3 %	11.61 ms
0.3 %	5.56 ms
0.3 %	10.95 ms
0.4 %	8.82 ms
0.4 %	5.48 ms
0.4 %	11.01 ms
0.5 %	7.50 ms
0.7 %	7.70 ms
0.8 %	10.41 ms
0.9 %	5.80 ms
1.0 %	9.75 ms
1.0 %	6.74 ms
1.1 %	4.65 ms
1.2 %	7.00 ms
1.2 %	7.98 ms
1.2 %	9.93 ms
1.3 %	6.67 ms
1.3 %	7.58 ms
1.4 %	7.59 ms
1.4 %	6.60 ms
1.5 %	11.45 ms
1.5 %	6.03 ms
1.5 %	12.85 ms
1.6 %	12.43 ms
1.7 %	11.09 ms
1.7 %	9.49 ms
1.7 %	10.50 ms
1.8 %	6.94 ms
1.8 %	12.40 ms
1.9 %	8.66 ms
1.9 %	12.01 ms
2.1 %	12.00 ms
2.1 %	8.40 ms
2.1 %	12.95 ms
2.2 %	5.26 ms
2.2 %	7.38 ms
2.3 %	5.40 ms
2.4 %	7.47 ms
2.5 %	9.74 ms
2.5 %	11.97 ms
2.5 %	8.68 ms
2.6 %	6.92 ms
2.7 %	7.94 ms
2.7 %	13.33 ms
2.7 %	9.99 ms
2.8 %	11.73 ms
2.8 %	5.84 ms
2.9 %	7.91 ms
2.9 %	9.48 ms
2.9 %	11.42 ms
3.1 %	6.43 ms
3.2 %	12.83 ms
3.3 %	8.67 ms
3.3 %	9.38 ms
3.4 %	10.68 ms
3.4 %	8.12 ms
3.4 %	10.72 ms
3.5 %	7.06 ms
3.8 %	11.29 ms
3.9 %	5.96 ms
3.9 %	8.06 ms
4.0 %	13.29 ms
4.1 %	13.18 ms
4.3 %	13.58 ms
4.3 %	12.72 ms
4.3 %	10.59 ms
4.4 %	8.63 ms
4.4 %	11.33 ms
4.5 %	10.67 ms
4.6 %	10.72 ms
4.7 %	13.21 ms
4.9 %	11.65 ms
4.9 %	6.78 ms
4.9 %	12.39 ms
4.9 %	7.08 ms
5.0 %	10.92 ms
5.1 %	7.25 ms
5.1 %	13.10 ms
5.2 %	11.49 ms
5.3 %	10.67 ms
5.4 %	6.30 ms
5.4 %	10.06 ms
5.4 %	12.58 ms
5.5 %	9.69 ms
5.5 %	7.11 ms
5.5 %	14.23 ms
5.6 %	10.89 ms
5.7 %	13.17 ms
5.8 %	11.09 ms
5.8 %	6.22 ms
5.8 %	11.97 ms
5.9 %	12.89 ms
6.0 %	8.17 ms
6.1 %	10.92 ms
6.1 %	13.40 ms
6.2 %	7.25 ms
6.2 %	7.72 ms
6.3 %	9.44 ms
6.4 %	15.78 ms
6.8 %	7.31 ms
6.8 %	11.83 ms
6.8 %	7.26 ms
6.9 %	6.57 ms
6.9 %	7.44 ms
7.0 %	8.49 ms
7.2 %	9.77 ms
7.3 %	6.36 ms
7.3 %	14.22 ms
7.3 %	7.67 ms
7.6 %	8.44 ms
7.7 %	10.11 ms
7.7 %	8.91 ms
7.9 %	9.06 ms
8.0 %	7.12 ms
8.0 %	6.68 ms
8.1 %	11.92 ms
8.2 %	12.23 ms
8.3 %	9.72 ms
8.4 %	10.44 ms
8.4 %	12.97 ms
8.6 %	11.63 ms
8.9 %	8.21 ms
9.1 %	10.89 ms
9.2 %	12.05 ms
9.2 %	10.62 ms
9.3 %	12.26 ms
9.4 %	13.18 ms
9.4 %	11.13 ms
9.5 %	9.46 ms
9.5 %	10.28 ms
9.5 %	15.10 ms
9.6 %	9.75 ms
9.7 %	8.21 ms
9.8 %	7.14 ms
9.8 %	12.12 ms
9.8 %	10.73 ms
9.9 %	12.10 ms
9.9 %	8.95 ms
10.0 %	15.34 ms
10.1 %	10.88 ms
10.1 %	7.64 ms
10.1 %	14.34 ms
10.1 %	9.28 ms
10.3 %	9.08 ms
10.4 %	12.84 ms
10.5 %	14.67 ms
10.5 %	8.91 ms
10.6 %	10.41 ms
10.7 %	13.15 ms
10.8 %	11.34 ms
