HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 34.2 MB/s
Transfer Rate Maximum : 75.4 MB/s
Transfer Rate Average : 54.2 MB/s
Position 	Transfer Rate
0.0 gB	77233 KB/s
1.3 gB	69546 KB/s
2.5 gB	63376 KB/s
3.8 gB	70540 KB/s
5.0 gB	72141 KB/s
6.3 gB	67353 KB/s
7.5 gB	69461 KB/s
8.8 gB	70138 KB/s
10.0 gB	66973 KB/s
11.3 gB	72104 KB/s
12.5 gB	68643 KB/s
13.8 gB	72497 KB/s
15.0 gB	63045 KB/s
16.3 gB	70065 KB/s
17.5 gB	68390 KB/s
18.8 gB	68074 KB/s
20.0 gB	63806 KB/s
21.3 gB	68737 KB/s
22.5 gB	71486 KB/s
23.8 gB	65395 KB/s
25.0 gB	71319 KB/s
26.3 gB	65344 KB/s
27.5 gB	72167 KB/s
28.8 gB	64832 KB/s
30.0 gB	70744 KB/s
31.3 gB	64272 KB/s
32.5 gB	69525 KB/s
33.8 gB	63233 KB/s
35.0 gB	69519 KB/s
36.3 gB	65462 KB/s
37.5 gB	69639 KB/s
38.8 gB	69354 KB/s
40.0 gB	63526 KB/s
41.3 gB	69112 KB/s
42.5 gB	64590 KB/s
43.8 gB	68643 KB/s
45.0 gB	61002 KB/s
46.3 gB	68862 KB/s
47.5 gB	67183 KB/s
48.8 gB	61503 KB/s
50.0 gB	65046 KB/s
51.3 gB	60650 KB/s
52.5 gB	64256 KB/s
53.8 gB	61895 KB/s
55.0 gB	64292 KB/s
56.3 gB	63862 KB/s
57.5 gB	60772 KB/s
58.8 gB	65136 KB/s
60.0 gB	63515 KB/s
61.3 gB	58393 KB/s
62.5 gB	52361 KB/s
63.8 gB	58626 KB/s
65.0 gB	67607 KB/s
66.3 gB	61872 KB/s
67.5 gB	58824 KB/s
68.8 gB	59951 KB/s
70.0 gB	63508 KB/s
71.3 gB	61334 KB/s
72.5 gB	63438 KB/s
73.8 gB	60021 KB/s
75.0 gB	61639 KB/s
76.3 gB	62102 KB/s
77.5 gB	62625 KB/s
78.8 gB	64778 KB/s
80.0 gB	61457 KB/s
81.3 gB	63820 KB/s
82.5 gB	59634 KB/s
83.8 gB	59795 KB/s
85.0 gB	62139 KB/s
86.3 gB	58351 KB/s
87.5 gB	60739 KB/s
88.8 gB	64209 KB/s
90.0 gB	58877 KB/s
91.3 gB	61024 KB/s
92.5 gB	59626 KB/s
93.8 gB	61100 KB/s
95.0 gB	60106 KB/s
96.3 gB	60229 KB/s
97.5 gB	59854 KB/s
98.8 gB	57508 KB/s
100.0 gB	58613 KB/s
101.3 gB	61592 KB/s
102.5 gB	57865 KB/s
103.8 gB	59834 KB/s
105.0 gB	58494 KB/s
106.3 gB	57724 KB/s
107.5 gB	58467 KB/s
108.8 gB	59428 KB/s
110.0 gB	58453 KB/s
111.3 gB	58667 KB/s
112.5 gB	56817 KB/s
113.8 gB	55742 KB/s
115.0 gB	55541 KB/s
116.3 gB	59896 KB/s
117.5 gB	60203 KB/s
118.8 gB	57844 KB/s
120.0 gB	54093 KB/s
121.3 gB	56008 KB/s
122.5 gB	57271 KB/s
123.8 gB	58372 KB/s
125.0 gB	55885 KB/s
126.3 gB	52804 KB/s
127.5 gB	54430 KB/s
128.8 gB	56832 KB/s
130.0 gB	54228 KB/s
131.3 gB	53960 KB/s
132.5 gB	53148 KB/s
133.8 gB	51936 KB/s
135.0 gB	55222 KB/s
136.3 gB	53788 KB/s
137.5 gB	53439 KB/s
138.8 gB	57958 KB/s
140.0 gB	58278 KB/s
141.3 gB	56807 KB/s
142.5 gB	53098 KB/s
143.8 gB	54824 KB/s
145.0 gB	53239 KB/s
146.3 gB	52391 KB/s
147.5 gB	56221 KB/s
148.8 gB	52636 KB/s
150.0 gB	52442 KB/s
151.3 gB	54816 KB/s
152.5 gB	51784 KB/s
153.8 gB	54633 KB/s
155.0 gB	51217 KB/s
156.3 gB	55379 KB/s
157.5 gB	50602 KB/s
158.8 gB	55382 KB/s
160.0 gB	53315 KB/s
161.3 gB	54082 KB/s
162.5 gB	51082 KB/s
